"Day","SoilColumn","eCO2"
1,"C3",36.68786958
3,"C3",29.33950519
5,"C3",27.29870773
7,"C3",21.02369167
9,"C3",22.23334056
11,"C3",18.95816132
13,"C3",17.99018893
15,"C3",18.69273578
17,"C3",18.38844843
19,"C3",17.84170431
21,"C3",16.12548228
23,"C3",16.11190256
25,"C3",15.5702921
27,"C3",14.86833809
29,"C3",13.88876287
31,"C3",13.27456044
33,"C3",12.93008767
35,"C3",13.46454217
1,"C8",35.46887814
3,"C8",30.1367143
5,"C8",28.79262821
7,"C8",22.92688573
9,"C8",21.22918068
11,"C8",20.4781432
13,"C8",20.5591142
15,"C8",20.53911096
17,"C8",21.03694257
19,"C8",20.3003781
21,"C8",19.16150526
23,"C8",19.25543292
25,"C8",NA
27,"C8",16.96484279
29,"C8",16.63827551
31,"C8",16.17338658
33,"C8",15.62397869
35,"C8",15.26714524
1,"C9",35.52786374
3,"C9",31.72360482
5,"C9",24.75793927
7,"C9",19.62972991
9,"C9",23.59577814
11,"C9",20.11271902
13,"C9",19.23471011
15,"C9",19.54144435
17,"C9",19.35693281
19,"C9",18.64412649
21,"C9",17.87806308
23,"C9",17.33934099
25,"C9",16.75647845
27,"C9",16.43241795
29,"C9",15.42959711
31,"C9",14.93984163
33,"C9",14.77548234
35,"C9",14.3344779
1,"C13",32.10952132
3,"C13",28.97750898
5,"C13",28.39483424
7,"C13",20.59090232
9,"C13",20.33484195
11,"C13",19.32647217
13,"C13",NA
15,"C13",NA
17,"C13",18.50226681
19,"C13",18.13007578
21,"C13",17.98690143
23,"C13",11.63232659
25,"C13",11.27579719
27,"C13",14.34693555
29,"C13",14.58284447
31,"C13",13.92387454
33,"C13",13.27932948
35,"C13",12.96880698
